k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,5,350,120,80000,0.15,1340.73,1246,5.09245,1496.68,0.00376593,80000,156.817,1371,48,0.937258,43.9166,25.2667,1444.27
2000,5,350,120,80000,0.12,1340.73,1246,5.09245,1496.68,0.00173812,80000,156.817,1371,47,0.937258,43.8465,25.2263,1443.23
2000,5,350,120,80000,0.1,1340.73,1246,5.09245,1496.68,0.000869061,80000,156.817,1371,48,0.937258,43.9001,25.2572,1444.26
2000,5,350,100,60000,0.15,1340.73,1246,5.09245,1272.55,0.0023175,60000,154.594,1371,47,0.907827,33.6895,19.3827,1437.38
2000,5,350,100,60000,0.12,1340.73,1246,5.09245,1272.55,0.000869061,60000,154.594,1371,48,0.907827,33.5403,19.2968,1438.3
2000,5,350,100,60000,0.1,1340.73,1246,5.09245,1272.55,0.000579374,60000,154.594,1371,47,0.907827,33.6043,19.3337,1437.33
2000,5,350,100,70000,0.15,1340.73,1246,5.09245,1467.9,0.00289687,70000,155.464,1371,47,0.927158,39.1414,22.5193,1440.52
2000,5,350,100,70000,0.12,1340.73,1246,5.09245,1467.9,0.00144844,70000,155.464,1371,50,0.927158,39.6976,22.8393,1443.84
2000,5,350,100,70000,0.1,1340.73,1246,5.09245,1467.9,0.000869061,70000,155.464,1371,54,0.927158,43.5475,25.0543,1450.05
2000,5,350,100,80000,0.15,1340.73,1246,5.09245,1659.71,0.00521437,80000,156.019,1371,52,0.940289,46.6031,26.8123,1449.81
2000,5,350,100,80000,0.12,1340.73,1246,5.09245,1659.71,0.00289687,80000,156.019,1371,54,0.940289,45.4305,26.1377,1451.14
2000,5,350,100,80000,0.1,1340.73,1246,5.09245,1659.71,0.00144844,80000,156.019,1371,52,0.940289,46.8265,26.9408,1449.94
2000,5,300,150,60000,0.15,1340.73,1246,5.09245,986.609,0.00115875,60000,155.714,1371,52,0.895051,33.8189,19.4572,1442.46
2000,5,300,150,60000,0.12,1340.73,1246,5.09245,986.608,0.000289687,60000,155.714,1371,52,0.895051,33.8943,19.5005,1442.5
2000,5,300,150,60000,0.1,1340.73,1246,5.09245,986.608,0.000289687,60000,155.714,1371,51,0.895051,35.0498,20.1653,1442.17
2000,5,300,150,70000,0.15,1340.73,1246,5.09245,1137.08,0.00202781,70000,156.861,1371,56,0.918236,41.8468,24.0758,1451.08
2000,5,300,150,70000,0.12,1340.73,1246,5.09245,1137.08,0.000579374,70000,156.861,1371,59,0.918236,41.7184,24.002,1454
2000,5,300,150,70000,0.1,1340.73,1246,5.09245,1137.08,0.000289687,70000,156.861,1371,59,0.918236,41.8311,24.0668,1454.07
2000,5,300,150,80000,0.15,1340.73,1246,5.09245,1284.71,0.00347625,80000,157.629,1371,59,0.935269,46.4783,26.7405,1456.74
2000,5,300,150,80000,0.12,1340.73,1246,5.09245,1284.72,0.00144844,80000,157.629,1371,56,0.935269,46.1921,26.5758,1453.58
