k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1240,3,500,500,0.05,0,150,125000,2162.47,1983,4.84008,813.53,0,125000,163.174,2479.06,250.857,0.946112,73.7578,254.612,2984.53
1260,3,500,500,0.05,0,150,75000,2128.15,1985,4.84449,508.826,0,75000,154.604,2523.24,254.482,0.854014,44.8821,154.933,2932.65
1260,3,500,500,0.05,0,150,100000,2128.15,1985,4.84449,669.081,0,100000,158.595,2523.24,254.482,0.922098,58.8569,203.174,2980.89
1260,3,500,500,0.05,0,150,125000,2128.15,1985,4.84449,821.768,0,125000,159.672,2523.24,254.482,0.945311,73.6567,254.263,3031.98
1280,3,500,500,0.05,0,150,75000,2094.9,1920,4.8562,508.942,0,75000,158.815,2613.6,252.704,0.858041,45.0539,155.526,3021.83
1280,3,500,500,0.05,0,150,100000,2094.9,1920,4.8562,668.138,0,100000,162.415,2613.6,252.704,0.922224,59.0698,203.909,3070.22
1280,3,500,500,0.05,0,150,125000,2094.9,1920,4.8562,820.481,0,125000,163.488,2613.6,252.704,0.945283,74.0579,255.648,3121.96
1300,3,500,500,0.05,0,150,75000,2062.67,1861,4.86047,510.276,0,75000,157.906,2677.03,251.046,0.859808,44.8166,154.707,3082.78
1300,3,500,500,0.05,0,150,100000,2062.67,1861,4.86047,670.536,0,100000,161.397,2677.03,251.046,0.922349,58.7517,202.811,3130.88
1300,3,500,500,0.05,0,150,125000,2062.67,1861,4.86047,823.707,0,125000,162.406,2677.03,251.046,0.94477,73.493,253.698,3181.77
1320,3,500,500,0.05,0,150,75000,2031.42,1848,4.86159,513.614,0,75000,156.859,2748.54,255.827,0.857558,44.8265,154.741,3159.11
1320,3,500,500,0.05,0,150,100000,2031.42,1848,4.86159,674.156,0,100000,160.361,2748.54,255.827,0.920997,58.8523,203.158,3207.53
1320,3,500,500,0.05,0,150,125000,2031.42,1848,4.86159,828.427,0,125000,161.414,2748.54,255.827,0.944055,73.7199,254.481,3258.85
1340,3,500,500,0.05,0,150,75000,2001.1,1849,4.86986,517.069,0,75000,156.31,2797.93,252.83,0.861815,44.7764,154.568,3205.33
1340,3,500,500,0.05,0,150,100000,2001.1,1849,4.86986,678.711,0,100000,159.713,2797.93,252.83,0.922861,58.7454,202.789,3253.55
1340,3,500,500,0.05,0,150,125000,2001.1,1849,4.86986,833.492,0,125000,160.766,2797.93,252.83,0.945717,73.5429,253.87,3304.63
1360,3,500,500,0.05,0,150,75000,1971.67,1832,4.87124,520.263,0,75000,158.673,2832.82,250.081,0.85498,44.7804,154.582,3237.48
1360,3,500,500,0.05,0,150,100000,1971.67,1832,4.87124,683.767,0,100000,162.493,2832.82,250.081,0.922176,58.7668,202.863,3285.76
1360,3,500,500,0.05,0,150,125000,1971.67,1832,4.87124,839.853,0,125000,163.528,2832.82,250.081,0.945331,73.551,253.898,3336.8
1380,3,500,500,0.05,0,150,75000,1943.09,1773,4.88505,520.702,0,75000,156.614,2926.14,250.679,0.862426,44.7538,154.49,3331.31
1380,3,500,500,0.05,0,150,100000,1943.09,1773,4.88505,683.48,0,100000,159.912,2926.14,250.679,0.922157,58.6776,202.555,3379.37
1380,3,500,500,0.05,0,150,125000,1943.09,1773,4.88505,838.991,0,125000,160.915,2926.14,250.679,0.944906,73.5058,253.742,3430.56
140,3,500,500,0.05,0,150,75000,19153.3,17857,3.92492,326.24,0,75000,151.901,60.142,173.02,0.894069,47.2859,163.231,396.393
140,3,500,500,0.05,0,150,100000,19153.3,17857,3.92492,429.843,0,100000,154.593,60.142,173.02,0.947911,63.013,217.521,450.683
140,3,500,500,0.05,0,150,125000,19153.3,17857,3.92492,531.181,0,125000,155.535,60.142,173.02,0.970014,78.8908,272.331,505.493
1400,3,500,500,0.05,0,150,75000,1915.33,1725,4.88127,521.027,0,75000,155.249,2976.35,255.191,0.86759,44.6918,154.276,3385.81
1400,3,500,500,0.05,0,150,100000,1915.33,1725,4.88127,683.861,0,100000,158.367,2976.35,255.191,0.923807,58.6877,202.59,3434.13
1400,3,500,500,0.05,0,150,125000,1915.33,1725,4.88127,839.469,0,125000,159.316,2976.35,255.191,0.94534,73.3905,253.344,3484.88
1420,3,500,500,0.05,0,150,75000,1888.36,1705,4.89288,521.381,0,75000,154.086,3069.72,252.598,0.856255,44.6521,154.139,3476.46
1420,3,500,500,0.05,0,150,100000,1888.36,1705,4.89288,685.527,0,100000,157.735,3069.72,252.598,0.92036,58.4957,201.927,3524.25
1420,3,500,500,0.05,0,150,125000,1888.36,1705,4.89288,842.377,0,125000,158.772,3069.72,252.598,0.943544,73.3499,253.204,3575.53
1440,3,500,500,0.05,0,150,75000,1862.13,1721,4.89049,527.949,0,75000,156.229,3149.9,253.304,0.856313,45.2132,156.076,3559.28
1440,3,500,500,0.05,0,150,100000,1862.13,1721,4.89049,694.135,0,100000,159.975,3149.9,253.304,0.921094,58.7596,202.838,3606.04
1440,3,500,500,0.05,0,150,125000,1862.13,1721,4.89049,853.179,0,125000,160.912,3149.9,253.304,0.94224,73.562,253.936,3657.14
1460,3,500,500,0.05,0,150,75000,1836.62,1689,4.90009,526.468,0,75000,156,3210.6,253.767,0.864636,44.7086,154.334,3618.7
1460,3,500,500,0.05,0,150,100000,1836.62,1689,4.90009,690.422,0,100000,159.397,3210.6,253.767,0.924444,58.664,202.508,3666.88
1460,3,500,500,0.05,0,150,125000,1836.62,1689,4.90009,848.306,0,125000,160.293,3210.6,253.767,0.945485,73.3447,253.186,3717.55
1480,3,500,500,0.05,0,150,75000,1811.8,1630,4.89888,528.371,0,75000,156.731,3287.48,253.91,0.857963,44.7819,154.587,3695.97
1480,3,500,500,0.05,0,150,100000,1811.8,1630,4.89888,694.739,0,100000,160.274,3287.48,253.91,0.920832,58.7488,202.801,3744.19
1480,3,500,500,0.05,0,150,125000,1811.8,1630,4.89888,853.634,0,125000,161.328,3287.48,253.91,0.943553,73.4513,253.554,3794.94
1500,3,500,500,0.05,0,150,75000,1787.65,1624,4.91097,534.329,0,75000,157.661,3304.67,251.371,0.861063,44.841,154.791,3710.84
1500,3,500,500,0.05,0,150,100000,1787.65,1624,4.91097,702.429,0,100000,161.018,3304.67,251.371,0.921257,58.8256,203.066,3759.11
1500,3,500,500,0.05,0,150,125000,1787.65,1624,4.91097,862.997,0,125000,162.086,3304.67,251.371,0.944896,73.5211,253.795,3809.84
1520,3,500,500,0.05,0,150,75000,1764.12,1598,4.92197,533.953,0,75000,155.835,3404.01,254.691,0.854449,44.8114,154.689,3813.39
1520,3,500,500,0.05,0,150,100000,1764.12,1598,4.92197,702.103,0,100000,159.662,3404.01,254.691,0.920033,58.8276,203.073,3861.78
1520,3,500,500,0.05,0,150,125000,1764.12,1598,4.92197,862.744,0,125000,160.683,3404.01,254.691,0.942415,76.9754,265.719,3924.42
1540,3,500,500,0.05,0,150,75000,1741.21,1543,4.9228,531.97,0,75000,155.316,3469.83,249.949,0.860396,44.752,154.484,3874.27
1540,3,500,500,0.05,0,150,100000,1741.21,1543,4.9228,699.347,0,100000,158.855,3469.83,249.949,0.922745,58.7254,202.72,3922.5
1540,3,500,500,0.05,0,150,125000,1741.21,1543,4.9228,859.466,0,125000,159.858,3469.83,249.949,0.944906,73.3488,253.2,3972.98
1560,3,500,500,0.05,0,150,75000,1718.89,1553,4.92591,535.363,0,75000,155.185,3485.89,245.768,0.851137,44.7112,154.343,3886
1560,3,500,500,0.05,0,150,100000,1718.89,1553,4.92591,705.584,0,100000,159.173,3485.89,245.768,0.919723,58.7598,202.839,3934.5
1560,3,500,500,0.05,0,150,125000,1718.89,1553,4.92591,867.247,0,125000,160.196,3485.89,245.768,0.942192,73.3691,253.27,3984.93
1580,3,500,500,0.05,0,150,75000,1697.13,1546,4.9307,541.676,0,75000,159.82,3588.06,244.607,0.865978,44.7839,154.594,3987.26
1580,3,500,500,0.05,0,150,100000,1697.13,1546,4.9307,710.958,0,100000,162.94,3588.06,244.607,0.923198,58.8447,203.132,4035.8
1580,3,500,500,0.05,0,150,125000,1697.13,1546,4.9307,873.578,0,125000,163.861,3588.06,244.607,0.943632,73.4557,253.569,4086.23
160,3,500,500,0.05,0,150,75000,16759.2,15708,4.00121,332.78,0,75000,148.524,68.165,170.279,0.849564,47.5203,164.04,402.484
160,3,500,500,0.05,0,150,100000,16759.2,15708,4.00121,438.803,0,100000,154.113,68.165,170.279,0.944445,63.2387,218.3,456.744
160,3,500,500,0.05,0,150,125000,16759.2,15708,4.00121,539.851,0,125000,155.097,68.165,170.279,0.966798,79.3042,273.758,512.202
1600,3,500,500,0.05,0,150,75000,1675.92,1509,4.93567,542.921,0,75000,160.582,3672.8,240.102,0.86255,44.6199,154.028,4066.93
1600,3,500,500,0.05,0,150,100000,1675.92,1509,4.93567,713.143,0,100000,163.924,3672.8,240.102,0.921075,58.9426,203.47,4116.38
1600,3,500,500,0.05,0,150,125000,1675.92,1509,4.93567,875.924,0,125000,164.888,3672.8,240.102,0.942926,73.1845,252.633,4165.54
1620,3,500,500,0.05,0,150,75000,1655.23,1513,4.94296,545.108,0,75000,157.375,3725.04,236.157,0.862482,44.6857,154.255,4115.45
1620,3,500,500,0.05,0,150,100000,1655.23,1513,4.94296,716.61,0,100000,160.573,3725.04,236.157,0.918872,58.5927,202.262,4163.46
1620,3,500,500,0.05,0,150,125000,1655.23,1513,4.94296,880.535,0,125000,161.551,3725.04,236.157,0.940869,73.3662,253.26,4214.46
1640,3,500,500,0.05,0,150,75000,1635.04,1472,4.94824,546.088,0,75000,159.362,3810.78,233.381,0.864867,44.5449,153.769,4197.93
1640,3,500,500,0.05,0,150,100000,1635.04,1472,4.94824,717.789,0,100000,162.589,3810.78,233.381,0.922156,58.6848,202.58,4246.74
1640,3,500,500,0.05,0,150,125000,1635.04,1472,4.94824,882.313,0,125000,163.475,3810.78,233.381,0.943013,73.1503,252.515,4296.67
1660,3,500,500,0.05,0,150,75000,1615.34,1475,4.94887,549.567,0,75000,157.73,3918.95,233.855,0.8578,44.4875,153.571,4306.37
1660,3,500,500,0.05,0,150,100000,1615.34,1475,4.94887,722.706,0,100000,161.181,3918.95,233.855,0.916913,58.5643,202.164,4354.96
1660,3,500,500,0.05,0,150,125000,1615.34,1475,4.94887,888.555,0,125000,162.189,3918.95,233.855,0.9392,73.1961,252.673,4405.47
1680,3,500,500,0.05,0,150,75000,1596.11,1451,4.95457,550.663,0,75000,158.505,3934.22,230.59,0.86479,44.6553,154.15,4318.95
1680,3,500,500,0.05,0,150,100000,1596.11,1451,4.95457,723.667,0,100000,161.68,3934.22,230.59,0.921084,58.4867,201.896,4366.7
1680,3,500,500,0.05,0,150,125000,1596.11,1451,4.95457,889.872,0,124999,162.651,3934.22,230.59,0.943041,73.666,254.295,4419.1
1700,3,500,500,0.05,0,150,75000,1577.33,1425,4.95591,551.778,0,75000,158.343,4013.03,231.327,0.858003,44.6124,154.002,4398.36
1700,3,500,500,0.05,0,150,100000,1577.33,1425,4.95591,725.914,0,100000,161.888,4013.03,231.327,0.920524,58.7781,202.902,4447.26
1700,3,500,500,0.05,0,150,125000,1577.33,1425,4.95591,892.876,0,124999,162.876,4013.03,231.327,0.943042,73.2233,252.767,4497.13
1720,3,500,500,0.05,0,150,75000,1558.99,1420,4.9618,553.375,0,75000,157.466,4076.72,228.158,0.863941,44.5649,153.838,4458.72
1720,3,500,500,0.05,0,150,100000,1558.99,1420,4.9618,727.94,0,100000,160.619,4076.72,228.158,0.920447,58.345,201.407,4506.29
1720,3,500,500,0.05,0,150,125000,1558.99,1420,4.9618,895.156,0,125000,161.607,4076.72,228.158,0.942452,73.1845,252.633,4557.51
1760,3,500,500,0.05,0,150,75000,1523.56,1388,4.97324,559.293,0,75000,156.433,4203.89,222.717,0.862531,44.5797,153.889,4580.5
1760,3,500,500,0.05,0,150,100000,1523.56,1388,4.97324,735.231,0,100000,159.684,4203.89,222.717,0.91982,58.3488,201.42,4628.03
1760,3,500,500,0.05,0,150,125000,1523.56,1388,4.97324,903.711,0,124998,160.656,4203.89,222.717,0.941748,73.564,253.943,4680.55
1780,3,500,500,0.05,0,150,75000,1506.44,1371,4.97446,558.861,0,75000,159.532,4247.74,222.443,0.862028,44.4171,153.328,4623.51
1780,3,500,500,0.05,0,150,100000,1506.44,1371,4.97446,734.332,0,100000,162.809,4247.74,222.443,0.921017,58.5939,202.266,4672.45
1780,3,500,500,0.05,0,150,125000,1506.44,1371,4.97446,902.891,0,124999,163.743,4247.74,222.443,0.941999,72.9817,251.933,4722.11
180,3,500,500,0.05,0,150,75000,14897,14016,4.0221,335.519,0,75000,152.825,72.575,160.123,0.855434,47.4705,163.868,396.566
180,3,500,500,0.05,0,150,100000,14897,14016,4.0221,441.6,0,100000,157.884,72.575,160.123,0.943914,62.8071,216.81,449.508
180,3,500,500,0.05,0,150,125000,14897,14016,4.0221,542.543,0,125000,158.939,72.575,160.123,0.9676,78.3111,270.33,503.028
1800,3,500,500,0.05,0,150,75000,1489.7,1344,4.97746,559.952,0,75000,156.479,4335.32,221.589,0.861285,43.7587,151.055,4707.96
1800,3,500,500,0.05,0,150,100000,1489.7,1344,4.97746,736.148,0,100000,159.889,4335.32,221.589,0.920003,57.3163,197.856,4754.76
1800,3,500,500,0.05,0,150,125000,1489.7,1344,4.97746,904.682,0.000289687,124999,160.869,4335.32,221.589,0.942636,71.8862,248.151,4805.06
1820,3,500,500,0.05,0,150,75000,1473.33,1336,4.98977,561.277,0,75000,156.052,4396.16,220.034,0.865757,43.6559,150.7,4766.89
1820,3,500,500,0.05,0,150,100000,1473.33,1336,4.98977,736.59,0,100000,159.185,4396.16,220.034,0.920573,57.2341,197.572,4813.77
1820,3,500,500,0.05,0,150,125000,1473.33,1336,4.98977,904.976,0,125000,160.156,4396.16,220.034,0.942377,71.7767,247.773,4863.97
1840,3,500,500,0.05,0,150,75000,1457.32,1337,4.99491,565.036,0,75000,158.439,4497.89,224.407,0.86563,43.6845,150.799,4873.1
1840,3,500,500,0.05,0,150,100000,1457.32,1337,4.99491,741.76,0,100000,161.459,4497.89,224.407,0.919559,57.1921,197.427,4919.72
1840,3,500,500,0.05,0,150,125000,1457.32,1337,4.99491,911.479,0,124999,162.416,4497.89,224.407,0.941439,71.699,247.505,4969.8
1860,3,500,500,0.05,0,150,75000,1441.65,1293,4.98926,563.186,0,75000,158.167,4587.86,226.41,0.859953,43.4114,149.856,4964.13
1860,3,500,500,0.05,0,150,100000,1441.65,1293,4.98926,740.302,0,100000,161.541,4587.86,226.41,0.919384,56.7917,196.045,5010.32
