k,itr,nb,nd,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
200,3,60,180,30000,13407.3,13064,4.08384,232.253,0.248552,30000,110.195,18,34,0.870554,21.6298,12.4443,64.4443
500,3,60,180,30000,5362.94,4954,4.47245,264.318,1.87486,30000,115.576,99,41,0.826011,20.372,11.7207,151.721
1500,3,60,180,30000,1787.65,1638,4.90824,330.781,14.2755,29999.8,112.324,580,51,0.771755,19.3207,11.1158,642.116
2000,3,60,180,30000,1340.73,1224,5.02342,349.386,23.2025,29994.7,113.56,844,41,0.763779,19.478,11.2063,896.206
2500,3,60,180,30000,1072.59,970,5.10474,370.029,33.0759,29987.5,112.445,1133,44,0.753447,19.3056,11.1072,1188.11
3000,3,60,180,30000,893.823,802,5.17344,380.184,42.909,29981.5,112.549,1423,46,0.752618,19.7494,11.3625,1480.36
