1500,3,50,100,30000,1787.65,1629,4.91011,358.501,9.17063,29998.6,115.753,544,25,0.782242,18.3189,10.5395,579.539
1500,3,50,110,30000,1787.65,1629,4.91011,328.363,8.40151,29999.2,116.219,544,24,0.781112,18.6892,10.7525,578.753
1500,3,50,120,30000,1787.65,1629,4.91011,303.341,7.5982,29999.7,116.596,544,25,0.78059,18.4331,10.6052,579.605
1500,3,50,130,30000,1787.65,1629,4.91011,282.231,6.91194,30000,116.789,544,26,0.77808,18.4284,10.6025,580.602
1500,3,50,140,30000,1787.65,1629,4.91011,264.337,6.36964,30000,117.05,544,25,0.776689,18.0623,10.3918,579.392
1500,3,50,150,30000,1787.65,1629,4.91011,248.809,5.9383,30000,117.227,544,25,0.774671,18.0768,10.4002,579.4
1500,3,50,160,30000,1787.65,1629,4.91011,235.041,5.53824,30000,117.207,544,25,0.769476,18.0081,10.3607,579.361
1500,3,50,170,30000,1787.65,1629,4.91011,223.36,5.11501,30000,117.367,544,26,0.767911,17.9702,10.3388,580.339
1500,3,50,180,30000,1787.65,1629,4.91011,213.105,4.78592,30000,117.469,544,26,0.766116,18.0151,10.3647,580.365
1500,3,60,100,30000,1787.65,1629,4.91011,361.913,9.53824,29999.5,114.456,544,23,0.794186,18.3056,10.5318,577.532
1500,3,60,110,30000,1787.65,1629,4.91011,332.052,8.53998,30000,114.799,544,24,0.791116,18.6897,10.7528,578.753
1500,3,60,120,30000,1787.65,1629,4.91011,307.393,7.71929,30000,115.191,544,25,0.790662,18.6724,10.7428,579.743
1500,3,60,130,30000,1787.65,1629,4.91011,286.133,7.12833,30000,115.244,544,27,0.784694,18.721,10.7708,581.771
1500,3,60,140,30000,1787.65,1629,4.91011,268.563,6.44206,30000,115.451,544,26,0.782425,18.1645,10.4507,580.451
1500,3,60,150,30000,1787.65,1629,4.91011,253.557,5.97306,30000,115.599,544,26,0.780176,18.1283,10.4298,580.43
1500,3,60,160,30000,1787.65,1629,4.91011,240.174,5.48146,30000,115.736,544,26,0.778205,18.0739,10.3985,580.399
1500,3,60,170,30000,1787.65,1629,4.91011,228.193,5.17092,30000,115.361,544,26,0.769631,18.0183,10.3665,580.366
