k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,3,225,90,59000,0.15,1340.73,1229,5.02465,802.539,3394.84,44789.3,152.821,746,16,0.856359,27.3998,15.764,777.764
2000,3,225,90,60000,0.15,1340.73,1229,5.02465,814.201,3417.78,45346.2,152.854,746,16,0.857093,27.717,15.9465,777.947
2000,3,200,150,56000,0.15,1340.73,1229,5.02465,540.747,2563.98,45626.4,156.992,746,16,0.842561,27.0443,15.5595,777.559
2000,3,200,150,57000,0.15,1340.73,1229,5.02465,549.287,2585.61,46264.9,157.061,746,16,0.844067,27.2358,15.6697,777.67
2000,3,200,150,58000,0.15,1340.73,1229,5.02465,557.743,2605.99,46899.8,157.121,746,16,0.845351,27.5736,15.864,777.864
2000,3,200,150,59000,0.15,1340.73,1229,5.02465,566.223,2626.52,47531.2,157.169,746,16,0.846385,28.0098,16.115,778.115
2000,3,200,150,60000,0.15,1340.73,1229,5.02465,574.811,2646.98,48158.7,157.23,746,16,0.847659,28.2543,16.2557,778.256
2000,3,200,130,56000,0.15,1340.73,1229,5.02465,592.994,2673.73,44942,155.954,746,15,0.846423,26.7859,15.4108,776.411
2000,3,200,130,57000,0.15,1340.73,1229,5.02465,602.311,2695,45562.9,156.004,746,16,0.847457,27.0487,15.562,777.562
2000,3,200,130,58000,0.15,1340.73,1229,5.02465,611.651,2715.96,46178.8,156.048,746,16,0.848432,27.3581,15.74,777.74
2000,3,200,130,59000,0.15,1340.73,1229,5.02465,620.841,2735.83,46791.1,156.096,746,16,0.849494,27.7436,15.9618,777.962
2000,3,200,130,60000,0.15,1340.73,1229,5.02465,630.103,2756.06,47400.3,156.139,746,16,0.850489,27.9244,16.0658,778.066
2000,3,200,110,56000,0.15,1340.73,1229,5.02465,661.569,2807.42,44051.2,154.577,746,16,0.848442,26.3413,15.155,777.155
2000,3,200,110,57000,0.15,1340.73,1229,5.02465,671.691,2828.61,44648.7,154.616,746,16,0.849243,26.624,15.3177,777.318
2000,3,200,110,58000,0.15,1340.73,1229,5.02465,681.691,2849.21,45240.9,154.654,746,16,0.850093,26.9615,15.5118,777.512
2000,3,200,110,59000,0.15,1340.73,1229,5.02465,691.723,2870.32,45828.6,154.692,746,16,0.850962,27.3896,15.7582,777.758
2000,3,200,110,60000,0.15,1340.73,1229,5.02465,701.66,2889.42,46411.1,154.732,746,16,0.851976,27.6674,15.918,777.918
2000,3,200,90,56000,0.15,1340.73,1229,5.02465,753.219,2969.68,42835.8,152.68,746,16,0.849542,25.8071,14.8477,776.848
2000,3,200,90,57000,0.15,1340.73,1229,5.02465,764.647,2990.56,43399.4,152.716,746,16,0.850334,26.2488,15.1018,777.102
2000,3,200,90,58000,0.15,1340.73,1229,5.02465,776.002,3012.45,43956.5,152.762,746,16,0.851416,26.518,15.2567,777.257
2000,3,200,90,59000,0.15,1340.73,1229,5.02465,787.123,3032.95,44509,152.791,746,16,0.852043,26.8137,15.4268,777.427
2000,3,200,90,60000,0.15,1340.73,1229,5.02465,797.984,3052.25,45054.4,152.817,746,16,0.852671,27.3224,15.7195,777.72
2000,3,175,150,56000,0.15,1340.73,1229,5.02465,528.128,2256.28,45437.7,157.14,746,15,0.838283,26.7147,15.3698,776.37
2000,3,175,150,57000,0.15,1340.73,1229,5.02465,536.435,2274.42,46070.9,157.206,746,15,0.83977,26.9913,15.529,776.529
2000,3,175,150,58000,0.15,1340.73,1229,5.02465,544.685,2292.74,46701.1,157.263,746,15,0.840977,27.3317,15.7248,776.725
2000,3,175,150,59000,0.15,1340.73,1229,5.02465,553.089,2310.55,47326.8,157.316,746,16,0.842068,27.7349,15.9568,777.957
2000,3,175,150,60000,0.15,1340.73,1229,5.02465,561.445,2328.17,47947,157.373,746,16,0.843304,28.055,16.141,778.141
2000,3,175,130,56000,0.15,1340.73,1229,5.02465,579.773,2354.06,44727.1,156.058,746,16,0.841296,26.4768,15.233,777.233
2000,3,175,130,57000,0.15,1340.73,1229,5.02465,588.769,2372.22,45341.6,156.107,746,16,0.842406,26.7436,15.3865,777.386
2000,3,175,130,58000,0.15,1340.73,1229,5.02465,597.867,2390.34,45951.1,156.152,746,16,0.843363,27.1202,15.6032,777.603
2000,3,175,130,59000,0.15,1340.73,1229,5.02465,606.903,2407.71,46556.5,156.194,746,16,0.844299,27.3607,15.7415,777.741
2000,3,175,130,60000,0.15,1340.73,1229,5.02465,615.858,2425.37,47157,156.247,746,16,0.845458,27.8479,16.0218,778.022
2000,3,175,110,56000,0.15,1340.73,1229,5.02465,646.795,2471.34,43797.3,154.633,746,15,0.842909,26.064,14.9955,775.995
2000,3,175,110,57000,0.15,1340.73,1229,5.02465,656.538,2489.26,44385.7,154.676,746,16,0.843768,26.3838,15.1795,777.179
2000,3,175,110,58000,0.15,1340.73,1229,5.02465,666.258,2506.94,44968.6,154.722,746,15,0.844811,26.7393,15.384,776.384
2000,3,175,110,59000,0.15,1340.73,1229,5.02465,676,2524.57,45546.9,154.768,746,16,0.845844,26.989,15.5277,777.528
2000,3,175,110,60000,0.15,1340.73,1229,5.02465,685.586,2541.22,46120.4,154.81,746,16,0.846771,27.4021,15.7653,777.765
2000,3,175,90,56000,0.15,1340.73,1229,5.02465,736.708,2613.76,42520,152.705,746,15,0.843209,25.6382,14.7505,775.75
2000,3,175,90,57000,0.15,1340.73,1229,5.02465,747.375,2632.46,43070.3,152.74,746,15,0.844049,25.9192,14.9122,775.912
2000,3,175,90,58000,0.15,1340.73,1229,5.02465,757.935,2649.17,43614.6,152.778,746,16,0.844802,26.2063,15.0773,777.077
2000,3,175,90,59000,0.15,1340.73,1229,5.02465,768.512,2666.8,44154.8,152.814,746,16,0.845536,26.6153,15.3127,777.313
2000,3,175,90,60000,0.15,1340.73,1229,5.02465,778.943,2683.41,44689.7,152.845,746,16,0.846163,26.8621,15.4547,777.455
