k,itr,nb,nd,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
200,5,60,180,40000,13407.3,12891,4.16154,305.597,0.521727,40000,110.311,24,30,0.899628,24.4464,14.0648,68.0648
200,5,60,500,40000,13407.3,12891,4.16154,151.313,0.151506,40000,110.748,24,30,0.856996,23.5875,13.5707,67.5707
200,5,120,180,40000,13407.3,12891,4.16154,341.441,0.714658,40000,106.835,24,31,0.895797,24.5881,14.1463,69.1463
200,5,120,500,40000,13407.3,12891,4.16154,186.213,0.311414,40000,102.507,24,32,0.784674,23.2868,13.3977,69.3977
200,5,240,180,40000,13407.3,12891,4.16154,390.277,2.55881,40000,104.444,24,32,0.859866,24.4733,14.0803,70.0803
200,5,240,500,40000,13407.3,12891,4.16154,237.066,1.44003,40000,102.106,24,31,0.782598,23.7932,13.689,68.689
200,5,480,180,40000,13407.3,12891,4.16154,390.277,2.55881,40000,104.444,24,30,0.859866,24.6518,14.183,68.183
200,5,480,500,40000,13407.3,12891,4.16154,237.066,1.44003,40000,102.106,24,30,0.782598,23.8019,13.694,67.694
500,5,60,180,50000,5362.94,5073,4.55459,430.162,4.39919,49999.3,114.018,135,33,0.870284,29.7552,17.1192,185.119
500,5,60,500,50000,5362.94,5073,4.55459,229.683,1.45857,50000,115.055,135,33,0.846579,28.0698,16.1495,184.149
500,5,120,180,50000,5362.94,5073,4.55459,475.637,3.95046,50000,111.808,135,34,0.908839,29.5041,16.9747,185.975
500,5,120,500,50000,5362.94,5073,4.55459,266.119,1.39253,50000,107.145,135,33,0.800723,28.5064,16.4007,184.401
500,5,240,180,50000,5362.94,5073,4.55459,549.239,5.34647,50000,108.392,135,34,0.890785,30.0127,17.2673,186.267
500,5,240,500,50000,5362.94,5073,4.55459,359.354,3.03187,50000,105.424,135,34,0.805107,28.7462,16.5387,185.539
500,5,480,180,50000,5362.94,5073,4.55459,697.792,16.595,50000,101.309,135,34,0.78898,30.011,17.2663,186.266
