k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,6,300,120,60000,0.15,1340.73,1252,5.10507,704.481,4104,47920.5,152.371,1549,19,0.865736,28.9493,16.6555,1584.66
2000,6,300,120,60000,0.12,1340.73,1246,5.11235,753.163,3121.14,52713.5,157.475,1490,16,0.872041,31.6321,18.199,1524.2
2000,6,300,150,60000,0.12,1340.73,1246,5.10846,648.589,2888.75,53460.5,156.586,1557,18,0.860367,31.759,18.272,1593.27
2000,6,300,120,60000,0.10,1340.73,1243,5.10973,776.594,2417.57,55548.6,154.21,1512,19,0.870534,33.2749,19.1442,1550.14
