k,itr,nb,nd,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,25,150,80,30000,1340.73,1295,5.1609,498.22,0,30000,148.042,6462,19,0.747469,18.8053,10.8193,6491.82
2000,25,500,100,30000,1340.73,1262,5.16345,20.5127,13452.1,1177.93,102.214,6454,19,0.399256,1.9635,1.12967,6474.13
