k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,25,500,200,60000,0.20,1340.73,1289,5.16081,517.864,8297.8,42880.5,148.978,6769,55,0.803195,23.0287,13.2492,6837.25
2000,25,300,120,50000,0.20,1340.73,1280,5.16171,529.385,5277.74,34993.9,149.409,6882,52,0.835754,18.9403,10.897,6944.9
2000,25,500,200,50000,0.25,1340.73,1270,5.1634,385.449,9950.03,30703.2,148.328,7057,45,0.787309,16.5889,9.54417,7111.54
2000,25,300,120,50000,0.25,1340.73,1281,5.16101,438.632,6512.16,27666.9,145.585,7259,64,0.80615,14.6222,8.41267,7331.41
