k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,25,500,150,30000,0.60,1340.73,1273,5.1624,19.3352,13452.9,1440.02,105.642,6734,51,0.4028,1.93337,1.11233,6786.11
2000,25,1000,200,30000,0.60,1340.73,1266,5.16342,21.3905,26661.4,1679.14,107.753,6801,46,0.417188,2.20017,1.26583,6848.27
2000,25,150,80,30000,0.40,1340.73,1288,5.16291,125.286,3903.32,6459.62,126.085,6909,36,0.621128,4.11732,2.36883,6947.37
2000,25,150,80,30000,0.20,1340.73,1260,5.16054,403.14,2494.3,22123,147.717,6870,35,0.788874,12.4377,7.15583,6912.16
2000,25,500,200,30000,0.4,1340.73,1277,5.16101,133.847,12657.1,10249.8,135.161,6958,48,0.654192,6.07677,3.49617,7009.5
